# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006014-1
# text = kullat mārīšunu mārātišunu
1	kullat	kullatu	NOUN	N	Gender=F|Nounbase=Bound|Number=Sg	0	root	0:root	kul₂-la-at
10	makkūr	makkūru	NOUN	N	Gender=M|Nounbase=Suffixal|Number=Sg	6	conj	_	NIG₂.GA-šu₂-nu
11	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	10	det	_	_
12-13	alpīšunu	_	_	_	_	_	_	_	_
12	alpī	alpu	NOUN	N	Gender=M|Nounbase=Suffixal|Number=Pl	6	conj	_	GU₄.MEŠ-šu₂-nu
13	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	12	det	_	_
14-15	ṣēnīšunu	_	_	_	_	_	_	_	_
14	ṣēnī	ṣēnu	NOUN	N	Gender=F|Nounbase=Suffixal|Number=Pl	6	conj	_	ṣe-ni.MEŠ-šu-nu
15	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	14	det	_	_
16-17	ašlulma	_	_	_	_	_	_	_	_
16	ašlul	šalālu	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	5	conj	_	aš₂-lu-ul-ma
17	ma	_	CCONJ	_	_	22	cc	_	_
18	ana	ana	ADP	PRP	_	19	case	_	a-na
19-20	āliya	_	_	_	_	_	_	_	_
19	āli	ālu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	22	obl	_	URU-ia
20	ya	_	PRON	_	Number=Sg|Person=1	19	det	_	_
21	Aššur	Aššur	PROPN	SN	Gender=M	19	appos	_	aš-šur
22	ubla	wabālu	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	16	conj	_	ub-la
23	x	_	_	u	_	_	_	_	x

# sent_id = Q006014-4
# text = Uluzu-x x ana abiya
1	Uluzu-x	Uluzu-x	PROPN	GN	_	_	_	_	{KUR}u₂-lu-zu-x
2	x	_	_	u	_	_	_	_	x
3	ana	ana	ADP	PRP	_	4	case	_	a-na
4-5	abiya	_	_	_	_	_	_	_	_
4	abi	abu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	0	root	0:root	a-bi-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	_	_

# sent_id = Q006014-5
# text = x ana ramānišunu uṣabbitūni
1	x	_	_	u	_	_	_	_	x
2	ana	ana	ADP	PRP	_	3	case	_	a-na
3-4	ramānišunu	_	_	_	_	_	_	_	_
3	ramāni	ramānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	5	obl	_	ra-ma-ni-šu-nu
4	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	3	det	_	_
5	uṣabbitūni	ṣabātu	VERB	V	Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=D	0	root	0:root	u₂-ṣab-bi-tu-u₂-ni

# sent_id = Q006014-6
# text = x ina siqir ša Aššur bēliya narkabāti ummānātešunu adki
1	x	_	_	u	_	_	_	_	x
2	ina	ina	ADP	PRP	_	3	case	_	ina
3	siqir	zikru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	11	obl	_	si-qir
4	ša	ša	ADP	DET	_	5	case	_	ša
5	Aššur	Aššur	PROPN	DN	Gender=M	3	nmod	_	aš₂-šur
6-7	bēliya	_	_	_	_	_	_	_	_
6	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	5	appos	_	EN-ia
7	ya	_	PRON	_	Number=Sg|Person=1	6	det	_	_
8	narkabāti	narkabtu	NOUN	N	Gender=F|Nounbase=Free|Number=Pl	11	obj	_	{GIŠ}GIGIR.MEŠ
9-10	ummānātešunu	_	_	_	_	_	_	_	_
9	ummānāte	ummānu	NOUN	N	Gender=F|Nounbase=Suffixal|Number=Pl	8	conj	_	um-ma-na-te-šu-nu
10	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	9	det	_	_
11	adki	dekû	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	_

# sent_id = Q006014-7
# text = x dīktašunu maʾatta adūk
1	x	_	_	u	_	_	_	_	x
2-3	dīktašunu	_	_	_	_	_	_	_	_
2	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	5	obj	_	di-ik-ta-šu-nu
3	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	2	det	_	_
4	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	2	amod	_	ma-ʾa-at-ta
5	adūk	dâku	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk

# sent_id = Q006014-8
# text = x ālānišunu appul aqqur ina išātāti ašrupu
1	x	_	_	u	_	_	_	_	x
2-3	ālānišunu	_	_	_	_	_	_	_	_
2	ālāni	ālu	NOUN	N	Gender=M|Nounbase=Suffixal|Number=Pl	4	obj	_	URU.MEŠ-šu-nu
3	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	2	det	_	_
4	appul	napālu	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ap-pu-ul
5	aqqur	naqāru	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	4	conj	_	aq-qur
6	ina	ina	ADP	PRP	_	7	case	_	i-na
7	išātāti	_	NOUN	_	Gender=F|Nounbase=Free|Number=Pl	8	obl	_	_
8	ašrupu	šarāpu	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	4	conj	_	aš₂-ru-pu

# sent_id = Q006014-9
# text = sītāt ummānātešunu ša ištu pān kakkīya ipparšidūni
1	sītāt	_	NOUN	_	Gender=F|Nounbase=Bound|Number=Pl	0	root	0:root	_
2-3	ummānātešunu	_	_	_	_	_	_	_	_
2	ummānāte	ummānu	NOUN	N	Gender=F|Nounbase=Suffixal|Number=Pl	1	nmod:poss	_	um-ma-na-te-šu-nu
3	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	2	det	_	_
4	ša	ša	PRON	REL	_	9	nsubj	_	ša
5	ištu	ištu	ADP	PRP	_	6	case	_	iš-tu
6	pān	pānu	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	9	obl	_	pa-an
7-8	kakkīya	_	_	_	_	_	_	_	_
7	kakkī	kakku	NOUN	N	Gender=M|Nounbase=Suffixal|Number=Pl	6	nmod:poss	_	{GIŠ}TUKUL.MEŠ-ia
8	ya	_	PRON	_	Number=Sg|Person=1	7	det	_	_
9	ipparšidūni	naparšudu	VERB	V	Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	1	acl:relcl	_	ip-par₂-ši-du-u₂-ni

# sent_id = Q006014-10
# text = ištu x adi Halhalauš x arkišunu artedi
1	ištu	ištu	ADP	PRP	_	2	case	_	iš-tu
2	x	_	PROPN	u	_	8	obl	_	x
3	adi	adi	ADP	PRP	_	4	case	_	a-di
4	Halhalauš	Halhalauš	PROPN	SN	_	8	obl	_	{URU}hal-ha-la-uš
5	x	_	_	u	_	_	_	_	x
6-7	arkišunu	_	_	_	_	_	_	_	_
6	arki	warki	ADP	PRP	_	_	_	_	EGIR-šu-nu
7	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	8	obl	_	_
8	artedi	_	VERB	_	Mood=Indicative|Number=Sg|Person=1|Tense=Perfect|Verbstem=G	0	root	0:root	_

# sent_id = Q006014-11
# text = dīktašunu maʾatta adūk
1-2	dīktašunu	_	_	_	_	_	_	_	_
1	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	4	obj	_	di-ik-ta-šu-nu
2	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	1	det	_	_
3	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	1	amod	_	ma-ʾa-at-ta
4	adūk	dâku	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk

# sent_id = Q006014-12
# text = x šallassunu būšīšunu ašlulma sitātešunu assuha ina x x
1	x	_	_	u	_	_	_	_	x
2-3	šallassunu	_	_	_	_	_	_	_	_
2	šallas	šallatu	NOUN	N	Gender=F|Nounbase=Suffixal|Number=Sg	6	obj	_	šal-la-a-su-nu
3	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	2	det	_	_
4-5	būšīšunu	_	_	_	_	_	_	_	_
4	būšī	būšu	NOUN	N	Gender=M|Nounbase=Suffixal|Number=Pl	2	conj	_	NIG₂.ŠU.MEŠ-šu-nu
5	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	4	det	_	_
6-7	ašlulma	_	_	_	_	_	_	_	_
6	ašlul	šalālu	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	aš₂-lu-ul-ma
7	ma	_	CCONJ	_	_	10	cc	_	_
8-9	sitātešunu	_	_	_	_	_	_	_	_
8	sītāte	šittu	NOUN	N	Gender=F|Nounbase=Suffixal|Number=Pl	10	obj	_	si-ta-te-šu-nu
9	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	8	det	_	_
10	assuha	nasāhu	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	6	conj	_	as₃-su-ha
11	ina	ina	ADP	PRP	_	12	case	_	i-na
12	x	_	NOUN	u	Case=Gen	13	obl	_	x
13	x	_	VERB	u	_	6	conj	_	x

# sent_id = Q006014-13
# text = Kundabhale šar Katmuhi
1	Kundabhale	Kundibhale	PROPN	RN	_	0	root	0:root	{m}ku-un-da-ab-ha-le-e
2	šar	šarru	NOUN	N	Gender=M|Nounbase=Bound|Number=Sg	1	appos	_	šar
3	Katmuhi	Katmuhu	PROPN	GN	Case=Gen	2	nmod:poss	_	{KUR}kat-mu-hi

# sent_id = Q006014-14
# text = x biltu maddattu
1	x	_	_	u	_	_	_	_	x
2	biltu	biltu	NOUN	N	Case=Nom|Gender=F|Nounbase=Free|Number=Sg	0	root	0:root	_
3	maddattu	maddattu	NOUN	N	Case=Nom|Gender=F|Nounbase=Free|Number=Sg	2	conj	_	ma-da-tu

# sent_id = Q006014-15
# text = ana x ṣīrāte ina x
1	ana	ana	ADP	PRP	_	_	_	_	a-na
2	x	_	_	u	_	_	_	_	x
3	ṣīrāte	ṣīru	ADJ	AJ	Gender=F|Number=Pl	_	_	_	ṣi-ra-a-te
4	ina	ina	ADP	PRP	_	5	case	_	i-na
5	x	_	NOUN	u	Case=Gen	0	root	0:root	x

# sent_id = Q006014-16
# text = x ša Adad u x adki x x x
1	x	_	_	u	_	_	_	_	x
2	ša	ša	ADP	DET	_	3	case	_	ša
3	Adad	Adad	PROPN	DN	Gender=M	0	root	0:root	{d}IŠKUR
4	u	u	X	CNJ	_	5	cc	_	u₃
5	x	_	PROPN	u	_	3	conj	_	x
6	adki	dekû	VERB	V	Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	_	_	_	_
7	x	_	_	u	_	_	_	_	x
8	x	_	_	u	_	_	_	_	x
9	x	_	_	u	_	_	_	_	x
